"","X","CRUISE_NAME","STATION","CAST","LATITUDE","LONGITUDE","PLANKTON_STRATUM","GEAR_VOLUME_FILTERED","SAMPLE_SPLIT_FACTOR","EVENT_DATE","TIME","DAY","MONTH","YEAR","HOUR","MINUTE","DEPTH","NET_MAX_DEPTH","VOLUME_100M3","ZOO_ALIQUOT","TAXA_004","TAXA_NAME","ITIS_TAXON","ITIS_TSN","CONC_100M3","ZOOPLANKTON_COUNT","ZOO_STAGE_000","ZOO_STAGE_024","ZOO_STAGE_023","ZOO_STAGE_022","ZOO_STAGE_021","ZOO_STAGE_020","ZOO_STAGE_030","ZOO_STAGE_029","ZOO_STAGE_028","ZOO_STAGE_013","ZOO_STAGE_999","ADULT_CONC","C5_CONC","C4_CONC","C3_CONC","C2_CONC","C1_CONC","CRYTOPIA_CONC","FURCILIA_CONC","CALYPTOPIS_CONC","NAUPLIUS_CONC","UNKNOWN_CONC","PRIMARY_FLAG","SECONDARY_FLAG","abundance_10m2","ADULT_10m2","C5_10m2","C4_10m2","C3_10m2","C2_10m2","C1_10m2","crytopia_10m2","furcilia_10m2","calyptosis_10m2","nauplius_10m2","unknown_10m2"
"11",11,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,2101,"Balanidae",NA,NA,496.98,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",894.560420360568,0,0,0,0,0,0,0,0,0,0,0
"12",12,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,1300,"Bivalvia",NA,NA,220.88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",397.582409049141,0,0,0,0,0,0,0,0,0,0,0
"13",13,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,200,"Chaetognatha",NA,NA,165.66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",298.186806786856,0,0,0,0,0,0,0,0,0,0,0
"14",14,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,895,"Gammaridea",NA,NA,220.88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",397.582409049141,0,0,0,0,0,0,0,0,0,0,0
"15",15,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,457,"Hyperiidea",NA,NA,55.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",99.3956022622853,0,0,0,0,0,0,0,0,0,0,0
"16",16,"EN608","1",1,41.195,-70.8833,25,77.267,0.75,"31-JAN-18","20:46:13",31,1,2018,20,46,22,18,13.8,32,109,"Centropages hamatus",NA,NA,2208.79,40,21,15,4,0,0,0,0,0,0,0,0,1159.61536,828.2966855,220.8791161,0,0,0,0,0,0,0,0,1,"",3975.82409049141,2087.30764750799,1490.93403393428,397.582409049141,0,0,0,0,0,0,0,0
"17",17,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,2800,"Mysida",NA,NA,329.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",1447.87539325229,0,0,0,0,0,0,0,0,0,0,0
"18",18,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,218,"Sagitta",NA,NA,14972.35,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",65878.3303929791,0,0,0,0,0,0,0,0,0,0,0
"19",19,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,900,"Ectoprocta",NA,NA,164.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",723.937696626144,0,0,0,0,0,0,0,0,0,0,0
"20",20,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,554,"Caridea",NA,NA,164.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",723.937696626144,0,0,0,0,0,0,0,0,0,0,0
"21",21,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,1300,"Bivalvia",NA,NA,2138.91,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",9411.19005613988,0,0,0,0,0,0,0,0,0,0,0
"22",22,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,2101,"Balanidae",NA,NA,658.13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",2895.75078650458,0,0,0,0,0,0,0,0,0,0,0
"23",23,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,176,"Pleuromamma borealis",NA,NA,164.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",723.937696626144,0,0,0,0,0,0,0,0,0,0,0
"24",24,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,138,"Oithona",NA,NA,493.59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",2171.81308987843,0,0,0,0,0,0,0,0,0,0,0
"25",25,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,132,"Eurytemora",NA,NA,164.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",723.937696626144,0,0,0,0,0,0,0,0,0,0,0
"26",26,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,151,"Acartia tonsa",NA,NA,2961.56,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",13030.8785392706,0,0,0,0,0,0,0,0,0,0,0
"27",27,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,104,"Temora longicornis",NA,NA,1809.84,11,9,1,1,0,0,0,0,0,0,0,0,1480.781652,164.5312947,164.5312947,0,0,0,0,0,0,0,0,1,"",7963.31466288759,6515.4392696353,723.937696626144,723.937696626144,0,0,0,0,0,0,0,0
"28",28,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,102,"Pseudocalanus minutus",NA,NA,20401.88,124,96,27,0,0,0,0,0,0,0,0,1,15795.00429,4442.344957,0,0,0,0,0,0,0,0,164.5312947,1,"",89768.2743816419,69498.0188761099,19546.3178089059,0,0,0,0,0,0,0,0,723.937696626144
"29",29,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,135,"Paracalanus parvus",NA,NA,164.53,1,1,0,0,0,0,0,0,0,0,0,0,164.5312947,0,0,0,0,0,0,0,0,0,0,1,"",723.937696626144,723.937696626144,0,0,0,0,0,0,0,0,0,0
"30",30,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,143,"Nannocalanus minor",NA,NA,987.19,6,5,1,0,0,0,0,0,0,0,0,0,822.6564734,164.5312947,0,0,0,0,0,0,0,0,0,1,"",4343.62617975687,3619.68848313072,723.937696626144,0,0,0,0,0,0,0,0,0
"31",31,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,105,"Metridia lucens",NA,NA,164.53,1,1,0,0,0,0,0,0,0,0,0,0,164.5312947,0,0,0,0,0,0,0,0,0,0,1,"",723.937696626144,723.937696626144,0,0,0,0,0,0,0,0,0,0
"32",32,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,103,"Centropages typicus",NA,NA,31260.95,190,121,49,20,0,0,0,0,0,0,0,0,19908.28666,8062.03344,3290.625894,0,0,0,0,0,0,0,0,1,"",137548.162358967,87596.4612917635,35472.9471346811,14478.7539325229,0,0,0,0,0,0,0,0
"33",33,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,109,"Centropages hamatus",NA,NA,11846.25,72,59,12,1,0,0,0,0,0,0,0,0,9707.346387,1974.375536,164.5312947,0,0,0,0,0,0,0,0,1,"",52123.5141570824,42712.3241009425,8687.25235951373,723.937696626144,0,0,0,0,0,0,0,0
"34",34,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,300,"Thecosomata",NA,NA,987.19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",4343.62617975687,0,0,0,0,0,0,0,0,0,0,0
"35",35,"EN608","2",4,41.01,-70.8683,20,103.729,0.75,"01-FEB-18","06:24:59",1,2,2018,6,24,48,44,28.28,128,1100,"Gastropoda",NA,NA,164.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",723.937696626144,0,0,0,0,0,0,0,0,0,0,0
"36",36,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,457,"Hyperiidea",NA,NA,1191.31,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",6433.0587742566,0,0,0,0,0,0,0,0,0,0,0
"37",37,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,200,"Chaetognatha",NA,NA,4368.13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",23587.8821722742,0,0,0,0,0,0,0,0,0,0,0
"38",38,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,1300,"Bivalvia",NA,NA,132.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",714.784308250733,0,0,0,0,0,0,0,0,0,0,0
"39",39,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,2101,"Balanidae",NA,NA,132.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",714.784308250733,0,0,0,0,0,0,0,0,0,0,0
"40",40,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,108,"Tortanus discaudatus",NA,NA,132.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",714.784308250733,0,0,0,0,0,0,0,0,0,0,0
"41",41,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,4100,"Rhincalanus",NA,NA,264.73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",1429.56861650147,0,0,0,0,0,0,0,0,0,0,0
"42",42,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,176,"Pleuromamma borealis",NA,NA,661.84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",3573.92154125366,0,0,0,0,0,0,0,0,0,0,0
"43",43,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,138,"Oithona",NA,NA,1588.41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",8577.4116990088,0,0,0,0,0,0,0,0,0,0,0
"44",44,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,151,"Acartia tonsa",NA,NA,926.57,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",5003.49015775513,0,0,0,0,0,0,0,0,0,0,0
"45",45,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,104,"Temora longicornis",NA,NA,1058.94,8,2,6,0,0,0,0,0,0,0,0,0,264.734929,794.2047869,0,0,0,0,0,0,0,0,0,1,"",5718.27446600586,1429.56861650147,4288.7058495044,0,0,0,0,0,0,0,0,0
"46",46,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,102,"Pseudocalanus minutus",NA,NA,6486.01,49,35,12,0,0,0,0,0,0,0,0,2,4632.861257,1588.409574,0,0,0,0,0,0,0,0,264.734929,1,"",35024.4311042859,25017.4507887757,8577.4116990088,0,0,0,0,0,0,0,0,1429.56861650147
"47",47,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,135,"Paracalanus parvus",NA,NA,529.47,4,4,0,0,0,0,0,0,0,0,0,0,529.469858,0,0,0,0,0,0,0,0,0,0,1,"",2859.13723300293,2859.13723300293,0,0,0,0,0,0,0,0,0,0
"48",48,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,143,"Nannocalanus minor",NA,NA,1456.04,11,11,0,0,0,0,0,0,0,0,0,0,1456.042109,0,0,0,0,0,0,0,0,0,0,1,"",7862.62739075806,7862.62739075806,0,0,0,0,0,0,0,0,0,0
"49",49,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,105,"Metridia lucens",NA,NA,1323.67,10,6,4,0,0,0,0,0,0,0,0,0,794.2047869,529.469858,0,0,0,0,0,0,0,0,0,1,"",7147.84308250733,4288.7058495044,2859.13723300293,0,0,0,0,0,0,0,0,0
"50",50,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,103,"Centropages typicus",NA,NA,64727.69,489,218,178,93,0,0,0,0,0,0,0,0,28856.10726,23561.40868,12310.1742,0,0,0,0,0,0,0,0,1,"",349529.526734608,155822.97919866,127231.60686863,66474.9406673182,0,0,0,0,0,0,0,0
"51",51,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,109,"Centropages hamatus",NA,NA,10721.76,81,63,18,0,0,0,0,0,0,0,0,0,8339.150263,2382.614361,0,0,0,0,0,0,0,0,0,1,"",57897.5289683094,45031.4114197962,12866.1175485132,0,0,0,0,0,0,0,0,0
"52",52,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,101,"Calanus finmarchicus",NA,NA,529.47,4,1,3,0,0,0,0,0,0,0,0,0,132.3674645,397.1023935,0,0,0,0,0,0,0,0,0,1,"",2859.13723300293,714.784308250733,2144.3529247522,0,0,0,0,0,0,0,0,0
"53",53,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,300,"Thecosomata",NA,NA,397.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",2144.3529247522,0,0,0,0,0,0,0,0,0,0,0
"54",54,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,2801,"Mysidopsis begelowi",NA,NA,397.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",2144.3529247522,0,0,0,0,0,0,0,0,0,0,0
"55",55,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,2500,"Polychaeta",NA,NA,132.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",714.784308250733,0,0,0,0,0,0,0,0,0,0,0
"56",56,"EN608","3",5,40.8433,-70.8867,19,64.467,0.75,"01-FEB-18","10:24:59",1,2,2018,10,24,55,54,28.96,64,218,"Sagitta",NA,NA,2117.88,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",11436.5489320117,0,0,0,0,0,0,0,0,0,0,0
"57",57,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,2801,"Mysidopsis begelowi",NA,NA,40.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",260.880918942846,0,0,0,0,0,0,0,0,0,0,0
"58",58,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,218,"Sagitta",NA,NA,2323.47,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",14870.2123797422,0,0,0,0,0,0,0,0,0,0,0
"59",59,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,3400,"Thaliacea",NA,NA,40.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",260.880918942846,0,0,0,0,0,0,0,0,0,0,0
"60",60,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,300,"Thecosomata",NA,NA,529.91,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",3391.451946257,0,0,0,0,0,0,0,0,0,0,0
"61",61,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,101,"Calanus finmarchicus",NA,NA,774.49,19,2,7,5,1,4,0,0,0,0,0,0,81.52528717,285.3385051,203.8132179,40.76264358,163.0505743,0,0,0,0,0,0,1,"",4956.73745991408,521.761837885693,1826.16643259992,1304.40459471423,260.880918942846,1043.52367577139,0,0,0,0,0,0
"62",62,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,109,"Centropages hamatus",NA,NA,1915.84,47,32,15,0,0,0,0,0,0,0,0,0,1304.404595,611.4396538,0,0,0,0,0,0,0,0,0,1,"",12261.4031903138,8348.18940617108,3913.21378414269,0,0,0,0,0,0,0,0,0
"63",63,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,103,"Centropages typicus",NA,NA,25069.03,615,378,180,57,0,0,0,0,0,0,0,0,15408.27928,7337.275845,2323.470684,0,0,0,0,0,0,0,0,1,"",160441.76514985,98612.9873603959,46958.5654097123,14870.2123797422,0,0,0,0,0,0,0,0
"64",64,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,157,"Clausocalanus arcuicornis",NA,NA,40.76,1,1,0,0,0,0,0,0,0,0,0,0,40.76264358,0,0,0,0,0,0,0,0,0,0,1,"",260.880918942846,260.880918942846,0,0,0,0,0,0,0,0,0,0
"65",65,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,105,"Metridia lucens",NA,NA,448.39,11,8,1,2,0,0,0,0,0,0,0,0,326.1011487,40.76264358,81.52528717,0,0,0,0,0,0,0,0,1,"",2869.69010837131,2087.04735154277,260.880918942846,521.761837885693,0,0,0,0,0,0,0,0
"66",66,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,143,"Nannocalanus minor",NA,NA,203.81,5,5,0,0,0,0,0,0,0,0,0,0,203.8132179,0,0,0,0,0,0,0,0,0,0,1,"",1304.40459471423,1304.40459471423,0,0,0,0,0,0,0,0,0,0
"67",67,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,135,"Paracalanus parvus",NA,NA,285.34,7,5,2,0,0,0,0,0,0,0,0,0,203.8132179,81.52528717,0,0,0,0,0,0,0,0,0,1,"",1826.16643259992,1304.40459471423,521.761837885693,0,0,0,0,0,0,0,0,0
"68",68,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,102,"Pseudocalanus minutus",NA,NA,3220.25,79,39,37,0,0,0,0,0,0,0,0,3,1589.7431,1508.217813,0,0,0,0,0,0,0,0,122.2879308,1,"",20609.5925964849,10174.355838771,9652.59400088531,0,0,0,0,0,0,0,0,782.642756828539
"69",69,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,104,"Temora longicornis",NA,NA,774.49,19,11,6,2,0,0,0,0,0,0,0,0,448.3890794,244.5758615,81.52528717,0,0,0,0,0,0,0,0,1,"",4956.73745991408,2869.69010837131,1565.28551365708,521.761837885693,0,0,0,0,0,0,0,0
"70",70,"EN608","4",8,40.6667,-70.8817,19,104.671,0.75,"01-FEB-18","20:08:01",1,2,2018,20,8,67,64,16.56,32,4027,"Acartia",NA,NA,122.29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"",782.642756828539,0,0,0,0,0,0,0,0,0,0,0
